"Gene","Gene_single","mean log2(fold)","mean -log10  p value","significant in n/4 datasets","rank","bins","Function [CC]","Protein names"
"TECR","TECR",-0.334084224,1.852370904,3,88,"(-0.4,-0.3]","FUNCTION: Involved in both the production of very long-chain fatty acids for sphingolipid synthesis and the degradation of the sphingosine moiety in sphingolipids through the sphingosine 1-phosphate metabolic pathway (PubMed:25049234). Catalyzes the last of the four reactions of the long-chain fatty acids elongation cycle (PubMed:12482854). This endoplasmic reticulum-bound enzymatic process, allows the addition of 2 carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle (PubMed:12482854). This enzyme reduces the trans-2,3-enoyl-CoA fatty acid intermediate to an acyl-CoA that can be further elongated by entering a new cycle of elongation (PubMed:12482854). Thereby, it participates in the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators (PubMed:12482854). Catalyzes the saturation step of the sphingosine 1-phosphate metabolic pathway, the conversion of trans-2-hexadecenoyl-CoA to palmitoyl-CoA (PubMed:25049234). {ECO:0000269|PubMed:12482854, ECO:0000269|PubMed:25049234}.","Very-long-chain enoyl-CoA reductase (EC 1.3.1.93) (Synaptic glycoprotein SC2) (Trans-2,3-enoyl-CoA reductase) (TER)"
"TFAM","TFAM",-0.4594836285,2.295546347,3,148,"(-0.5,-0.4]","FUNCTION: Binds to the mitochondrial light strand promoter and functions in mitochondrial transcription regulation (PubMed:29445193, PubMed:32183942). Component of the mitochondrial transcription initiation complex, composed at least of TFB2M, TFAM and POLRMT that is required for basal transcription of mitochondrial DNA (PubMed:29149603). In this complex, TFAM recruits POLRMT to a specific promoter whereas TFB2M induces structural changes in POLRMT to enable promoter opening and trapping of the DNA non-template strand (PubMed:20410300). Required for accurate and efficient promoter recognition by the mitochondrial RNA polymerase (PubMed:22037172). Promotes transcription initiation from the HSP1 and the light strand promoter by binding immediately upstream of transcriptional start sites (PubMed:22037172). Is able to unwind DNA (PubMed:22037172). Bends the mitochondrial light strand promoter DNA into a U-turn shape via its HMG boxes (PubMed:1737790). Required for maintenance of normal levels of mitochondrial DNA (PubMed:19304746, PubMed:22841477). May play a role in organizing and compacting mitochondrial DNA (PubMed:22037171). {ECO:0000269|PubMed:1737790, ECO:0000269|PubMed:19304746, ECO:0000269|PubMed:20410300, ECO:0000269|PubMed:22037171, ECO:0000269|PubMed:22037172, ECO:0000269|PubMed:22841477, ECO:0000269|PubMed:29149603, ECO:0000269|PubMed:29445193, ECO:0000269|PubMed:32183942}.","Transcription factor A, mitochondrial (mtTFA) (Mitochondrial transcription factor 1) (MtTF1) (Transcription factor 6) (TCF-6) (Transcription factor 6-like 2)"
"TFB1M","TFB1M",-0.6485372558,2.046229789,3,197,"(-0.7,-0.6]","FUNCTION: Mitochondrial methyltransferase which uses S-adenosyl methionine to dimethylate two highly conserved adjacent adenosine residues (A1583 and A1584) within the loop of helix 45 at the 3-prime end of 12S rRNA, thereby regulating the assembly or stability of the small subunit of the mitochondrial ribosome (PubMed:12496758, PubMed:25305075, PubMed:31251801). Also required for basal transcription of mitochondrial DNA, probably via its interaction with POLRMT and TFAM. Stimulates transcription independently of the methyltransferase activity (PubMed:11809803, PubMed:12068295, PubMed:12897151). {ECO:0000269|PubMed:11809803, ECO:0000269|PubMed:12068295, ECO:0000269|PubMed:12496758, ECO:0000269|PubMed:12897151, ECO:0000269|PubMed:25305075, ECO:0000269|PubMed:31251801}.","Dimethyladenosine transferase 1, mitochondrial (EC 2.1.1.-) (Mitochondrial 12S rRNA dimethylase 1) (Mitochondrial transcription factor B1) (h-mtTFB) (h-mtTFB1) (hTFB1M) (mtTFB1) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 1)"
"TGOLN2","TGOLN2",-0.5536749984,1.552477951,3,178,"(-0.6,-0.5]","FUNCTION: May be involved in regulating membrane traffic to and from trans-Golgi network.","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)"
"TIMM23;TIMM23B","TIMM23",-0.6227975504,1.985746975,3,194,"(-0.7,-0.6]","FUNCTION: Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane (PubMed:10339406). Has a role in the activation of stress-induced mitophagy by protecting PINK1 from OMA1-mediated degradation and facilitating its accumulation at the outer mitochondrial membrane in response to depolarization (PubMed:37160114). {ECO:0000269|PubMed:37160114, ECO:0000305|PubMed:10339406}.","Mitochondrial import inner membrane translocase subunit Tim23"
"TIMM44","TIMM44",-0.6831833012,2.408834401,3,201,"(-0.7,-0.6]","FUNCTION: Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner (By similarity). Recruits mitochondrial HSP70 to drive protein translocation into the matrix using ATP as an energy source (By similarity). {ECO:0000250|UniProtKB:O35857, ECO:0000250|UniProtKB:Q01852}.","Mitochondrial import inner membrane translocase subunit TIM44"
"TLE4","TLE4",0.4187590828,1.730778191,3,28,"(0.4,0.5]","FUNCTION: Transcriptional corepressor that binds to a number of transcription factors. Inhibits the transcriptional activation mediated by PAX5, and by CTNNB1 and TCF family members in Wnt signaling. The effects of full-length TLE family members may be modulated by association with dominant-negative AES. Essential for the transcriptional repressor activity of SIX3 during retina and lens development and for SIX3 transcriptional auto-repression (By similarity). Involved in transcriptional repression of GNRHR and enhances MSX1-mediated transcriptional repression of CGA/alpha-GSU (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q62441}.","Transducin-like enhancer protein 4 (Grg-4) (Groucho-related protein 4)"
"TMA7","TMA7",-0.5800901254,1.676850347,3,183,"(-0.6,-0.5]",NA,NA
"TMEM59","TMEM59",0.4106157695,1.759706018,3,29,"(0.4,0.5]","FUNCTION: Acts as a regulator of autophagy in response to S.aureus infection by promoting activation of LC3 (MAP1LC3A, MAP1LC3B or MAP1LC3C). Acts by interacting with ATG16L1, leading to promote a functional complex between LC3 and ATG16L1 and promoting LC3 lipidation and subsequent activation of autophagy (PubMed:23376921, PubMed:27273576). Modulates the O-glycosylation and complex N-glycosylation steps occurring during the Golgi maturation of several proteins such as APP, BACE1, SEAP or PRNP (PubMed:20427278). Inhibits APP transport to the cell surface and further shedding (PubMed:20427278). {ECO:0000269|PubMed:20427278, ECO:0000269|PubMed:23376921, ECO:0000269|PubMed:27273576}.","Transmembrane protein 59 (Liver membrane-bound protein)"
"TOR1A","TOR1A",0.263579155,1.668878259,3,58,"(0.2,0.3]","FUNCTION: Protein with chaperone functions important for the control of protein folding, processing, stability and localization as well as for the reduction of misfolded protein aggregates. Involved in the regulation of synaptic vesicle recycling, controls STON2 protein stability in collaboration with the COP9 signalosome complex (CSN). In the nucleus, may link the cytoskeleton with the nuclear envelope, this mechanism seems to be crucial for the control of nuclear polarity, cell movement and, specifically in neurons, nuclear envelope integrity. Participates in the cellular trafficking and may regulate the subcellular location of multipass membrane proteins such as the dopamine transporter SLC6A3, leading to the modulation of dopamine neurotransmission. In the endoplasmic reticulum, plays a role in the quality control of protein folding by increasing clearance of misfolded proteins such as SGCE variants or holding them in an intermediate state for proper refolding. May have a redundant function with TOR1B in non-neural tissues. {ECO:0000269|PubMed:15505207, ECO:0000269|PubMed:16361107, ECO:0000269|PubMed:17428918, ECO:0000269|PubMed:18167355, ECO:0000269|PubMed:18827015, ECO:0000269|PubMed:19339278, ECO:0000269|PubMed:20169475, ECO:0000269|PubMed:23569223, ECO:0000269|PubMed:24930953}.","Torsin-1A (Dystonia 1 protein) (Torsin ATPase-1A) (EC 3.6.4.-) (Torsin family 1 member A)"
"TRUB1","TRUB1",0.397054337,1.667541935,3,32,"(0.3,0.4]","FUNCTION: Pseudouridine synthase that catalyzes pseudouridylation of mRNAs and tRNAs (PubMed:28073919, PubMed:31477916, PubMed:32926445). Mediates pseudouridylation of mRNAs with the consensus sequence 5'-GUUCNANNC-3', harboring a stem-loop structure (PubMed:28073919, PubMed:31477916). Constitutes the major pseudouridine synthase acting on mRNAs (PubMed:28073919). Also catalyzes pseudouridylation of some tRNAs, including synthesis of pseudouridine(55) from uracil-55, in the psi GC loop of a subset of tRNAs (PubMed:32926445, PubMed:33023933). Promotes the processing of pri-let-7 microRNAs (pri-miRNAs) independently of its RNA pseudouridylate synthase activity (PubMed:32926445). Acts by binding to the stem-loop structure on pri-let-7, preventing LIN28-binding (LIN28A and/or LIN28B), thereby enhancing the interaction between pri-let-7 and the microprocessor DGCR8, which mediates miRNA maturation (PubMed:32926445). {ECO:0000269|PubMed:28073919, ECO:0000269|PubMed:31477916, ECO:0000269|PubMed:32926445, ECO:0000269|PubMed:33023933}.","Pseudouridylate synthase TRUB1 (EC 5.4.99.-) (TruB pseudouridine synthase homolog 1) (tRNA pseudouridine 55 synthase TRUB1) (Psi55 synthase TRUB1) (EC 5.4.99.25)"
"TUBB","TUBB",0.3052542243,1.609702991,3,46,"(0.3,0.4]","FUNCTION: Tubulin is the major constituent of microtubules, a cylinder consisting of laterally associated linear protofilaments composed of alpha- and beta-tubulin heterodimers. Microtubules grow by the addition of GTP-tubulin dimers to the microtubule end, where a stabilizing cap forms. Below the cap, tubulin dimers are in GDP-bound state, owing to GTPase activity of alpha-tubulin.","Tubulin beta chain (Tubulin beta-5 chain)"
"UBE2G2","UBE2G2",0.2991203008,1.968845854,3,48,"(0.2,0.3]","FUNCTION: Accepts ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins (PubMed:20061386). In vitro catalyzes 'Lys-48'-linked polyubiquitination (PubMed:20061386). Involved in endoplasmic reticulum-associated degradation (ERAD) (PubMed:22607976). Required for sterol-induced ubiquitination of 3-hydroxy-3-methylglutaryl coenzyme A reductase and its subsequent proteasomal degradation (PubMed:23223569). {ECO:0000269|PubMed:20061386, ECO:0000269|PubMed:22607976, ECO:0000269|PubMed:23223569}.","Ubiquitin-conjugating enzyme E2 G2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme G2) (Ubiquitin carrier protein G2) (Ubiquitin-protein ligase G2)"
"UQCRB","UQCRB",-1.575122873,1.715742954,3,237,"(-1.6,-1.5]","FUNCTION: Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. The cytochrome b-c1 complex catalyzes electron transfer from ubiquinol to cytochrome c, linking this redox reaction to translocation of protons across the mitochondrial inner membrane, with protons being carried across the membrane as hydrogens on the quinol. In the process called Q cycle, 2 protons are consumed from the matrix, 4 protons are released into the intermembrane space and 2 electrons are passed to cytochrome c. {ECO:0000250|UniProtKB:P00128}.","Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (QP-C) (Ubiquinol-cytochrome c reductase complex 14 kDa protein)"
"UROD","UROD",0.3653626467,1.596567654,3,37,"(0.3,0.4]","FUNCTION: Catalyzes the sequential decarboxylation of the four acetate side chains of uroporphyrinogen to form coproporphyrinogen and participates in the fifth step in the heme biosynthetic pathway (PubMed:11069625, PubMed:11719352, PubMed:14633982, PubMed:18004775, PubMed:21668429). Isomer I or isomer III of uroporphyrinogen may serve as substrate, but only coproporphyrinogen III can ultimately be converted to heme (PubMed:11069625, PubMed:11719352, PubMed:14633982, PubMed:21668429). In vitro also decarboxylates pentacarboxylate porphyrinogen I (PubMed:12071824). {ECO:0000269|PubMed:11069625, ECO:0000269|PubMed:11719352, ECO:0000269|PubMed:12071824, ECO:0000269|PubMed:14633982, ECO:0000269|PubMed:18004775, ECO:0000269|PubMed:21668429}.","Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)"
"USMG5","USMG5",-0.9981046282,2.740253688,3,226,"(-1,-0.9]",NA,NA
"VDAC3","VDAC3",-0.4086287696,1.611143263,3,125,"(-0.5,-0.4]","FUNCTION: Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane (PubMed:31935282). Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations (PubMed:31935282). Involved in male fertility and sperm mitochondrial sheath formation (By similarity). {ECO:0000250|UniProtKB:Q60931, ECO:0000269|PubMed:31935282}.","Non-selective voltage-gated ion channel VDAC3 (VDAC-3) (hVDAC3) (Outer mitochondrial membrane protein porin 3)"
"VPS29","VPS29",0.4029952606,1.304033077,3,31,"(0.4,0.5]","FUNCTION: Acts as a component of the retromer cargo-selective complex (CSC). The CSC is believed to be the core functional component of retromer or respective retromer complex variants acting to prevent missorting of selected transmembrane cargo proteins into the lysosomal degradation pathway. The recruitment of the CSC to the endosomal membrane involves RAB7A and SNX3. The SNX-BAR retromer mediates retrograde transport of cargo proteins from endosomes to the trans-Golgi network (TGN) and is involved in endosome-to-plasma membrane transport for cargo protein recycling. The SNX3-retromer mediates the retrograde endosome-to-TGN transport of WLS distinct from the SNX-BAR retromer pathway. The SNX27-retromer is believed to be involved in endosome-to-plasma membrane trafficking and recycling of a broad spectrum of cargo proteins. The CSC seems to act as recruitment hub for other proteins, such as the WASH complex and TBC1D5. Required to regulate transcytosis of the polymeric immunoglobulin receptor (pIgR-pIgA) (PubMed:15247922, PubMed:21725319, PubMed:23563491). Also acts as component of the retriever complex. The retriever complex is a heterotrimeric complex related to retromer cargo-selective complex (CSC) and essential for retromer-independent retrieval and recycling of numerous cargos such as integrin alpha-5/beta-1 (ITGA5:ITGB1) (PubMed:28892079). In the endosomes, retriever complex drives the retrieval and recycling of NxxY-motif-containing cargo proteins by coupling to SNX17, a cargo essential for the homeostatic maintenance of numerous cell surface proteins associated with processes that include cell migration, cell adhesion, nutrient supply and cell signaling (PubMed:28892079). The recruitment of the retriever complex to the endosomal membrane involves CCC and WASH complexes (PubMed:28892079). Involved in GLUT1 endosome-to-plasma membrane trafficking; the function is dependent of association with ANKRD27 (PubMed:24856514). {ECO:0000269|PubMed:24856514, ECO:0000269|PubMed:28892079, ECO:0000303|PubMed:15247922, ECO:0000303|PubMed:21725319, ECO:0000303|PubMed:23563491}.; FUNCTION: (Microbial infection) The heterotrimeric retromer cargo-selective complex (CSC) mediates the exit of human papillomavirus from the early endosome and the delivery to the Golgi apparatus. {ECO:0000269|PubMed:25693203}.","Vacuolar protein sorting-associated protein 29 (hVPS29) (PEP11 homolog) (Vesicle protein sorting 29)"
